Navigation Status,MMSI,Longitude,Latitude,Ship_Type
5,548985000,105.9551,-6.012943333333333,Unknown ship type
11,525401141,106.09376666666668,-6.8188933333333335,High-speed craft
15,525601854,106.021785,-6.3287233333333335,Search and rescue vessels
0,525100600,105.99185,-5.946593333333333,Cargo 
15,525100250,106.05153666666666,-5.699,Cargo 
15,525001015,106.11343666666669,-5.937366666666667,Passenger
0,13788093,106.113925,-5.93731,Unknown ship type
8,525016636,106.124975,-5.984628333333333,Unknown ship type
0,525010092,106.10751666666668,64.79835666666666,Unknown ship type
8,525020371,106.12783166666668,-5.982623333333334,Unknown ship type
0,374243000,106.00407166666666,-5.806525,Unknown ship type
15,525006281,106.102635,-5.918498333333333,Passenger
1,525100336,105.98292333333332,-5.959693333333333,Cargo 
0,370385000,105.93005166666669,-6.000825,Unknown ship type
0,525015491,105.990865,-5.95484,Unknown ship type
0,636015031,105.79476,-5.932855,Unknown ship type
0,525701151,-91.89698833333334,-94.64677833333332,Tugs
15,525024239,106.12474833333332,-5.968861666666666,Unknown ship type
0,525012201,105.66832333333332,-5.919878333333333,Unknown ship type
0,636019957,105.977255,-5.97143,Unknown ship type
11,525021328,106.10760333333332,-5.981843333333333,Unknown ship type
15,525200374,105.80433,-5.858281666666667,Tankers
5,563016600,105.956885,-6.0104,Unknown ship type
15,525500603,105.97627833333334,-5.924493333333333,Pilot
0,525100805,105.98726333333332,-5.9492416666666665,Cargo 
0,525300595,106.11549333333332,-5.958305,Fishing
15,525701200,106.10573333333332,-5.908485,Tugs
0,525500505,106.10462166666667,-5.947421666666667,Pilot
8,525501481,106.10192,-5.911336666666666,Pilot
0,525501989,-91.472935,-95.56904,Pilot
0,525301368,106.05317333333332,-5.9631066666666666,Fishing
0,525018198,81.25365,67.53913,Unknown ship type
0,525007397,105.97264333333334,-5.951841666666667,Passenger
0,525019467,105.99376666666667,-5.926698333333333,Unknown ship type
0,525400839,105.97890833333334,-5.9621683333333335,High-speed craft
